,AveExpr,Coef.B8vsN8,Coef.B28vN24,Coef.N24vN8,Coef.B28vB8,t.B8vsN8,t.B28vN24,t.N24vN8,t.B28vB8,P.value.B8vsN8,P.value.B28vN24,P.value.N24vN8,P.value.B28vB8,F,F.p.value,Results.B8vsN8,Results.B28vN24,Results.N24vN8,Results.B28vB8
MPO,10.2491918993155,-1.52578550540123,-2.51821592237381,-0.126872087170405,0.865558329802173,-1.72597035626367,-2.83049205504766,-0.146509475182174,0.954042271271742,0.111807575702283,0.016103022548271,0.886123890261734,0.360206130944,3.77150769119611,0.0432761161985874,0,0,0,0
Myosin,12.8484752274725,0.75089619071902,-0.781659982412897,-0.860666977889592,0.671889195242326,1.9739569415897,-2.26692252330022,-2.44397579372905,1.79837111825379,0.0735722771443929,0.0441517584194463,0.0322406350497142,0.0991052868928947,3.08231944489665,0.0713787169761186,0,0,0,0
Nucleolin,8.58004015680309,0.201518661278479,-0.854838986466772,-0.179568025464468,0.876789622280784,0.433347184952372,-1.93170638036974,-0.41294123603664,1.85675176257443,0.672993230463967,0.079091144160903,0.687447241590379,0.0898318585496124,1.61664800716762,0.240898346400732,0,0,0,0
Nucleosome antigen,12.2041759297461,-1.01628447729243,-0.913678846469569,0.00312064544974255,-0.0994849853731168,-2.97928705136202,-2.77209586521335,0.0100297417581472,-0.277864761926018,0.012314517971416,0.0178901153204158,0.992174040782584,0.786180191643411,5.53523641852876,0.014175644155924,0,0,0,0
PCNA,11.4542836841844,1.72955065597801,1.13527252268193,0.410797345544143,1.00507547884022,3.8533662354052,2.49806644197573,1.03736717293042,2.00543541119226,0.00259932090415451,0.0292703082252055,0.321449662154292,0.0696954112696044,8.49147572898618,0.00319336989907481,1,0,0,0
Peroxiredoxin 1,14.8515255897145,-0.0504227344924661,-0.141077564109315,-0.587514389365676,-0.496859559748827,-0.0582424926358694,-0.160154492171318,-0.615063988433626,-0.63458638556075,0.954581965047351,0.875612240892704,0.550808506279649,0.538448708880867,0.268503385307234,0.846797517632967,0,0,0,0
PL-7,13.42109884013,1.40436495413613,-0.0211492794236978,-0.710199762450454,0.715314471109371,3.02253981360526,-0.0495832361821333,-1.54592523930691,1.65517533238589,0.011391255978974,0.961327982328294,0.149904567649715,0.12562098242619,3.11479000755923,0.069649632225332,0,0,0,0
PL-12,9.04112569047305,0.855972274185095,1.18625441898606,0.183399738539,-0.146882406261964,1.53104393294148,2.24011866219663,0.368948213537328,-0.249745770258792,0.153510310408529,0.046289316732394,0.719048267935051,0.807306842027492,2.44610316338197,0.117794137454462,0,0,0,0
PM/Scl-100,13.6347559492942,0.722185210436594,1.29400532906566,-0.538840495213513,-1.11066061384258,1.25546591789512,2.00292456460515,-0.833205071129504,-1.93325886834796,0.23487869005894,0.0699975169886475,0.422147436908938,0.0788817501069422,3.18729280374919,0.0659615801090038,0,0,0,0
PR3,6.41523874442093,0.563615329517608,0.21011730684547,-0.545051739842452,-0.191553717170314,0.735621050138256,0.279471137661204,-0.792044554346765,-0.23251082257584,0.477089090875217,0.784978487824759,0.444791824225431,0.820336791378088,0.389671531068455,0.762755983575361,0,0,0,0
Prothrombin protien,11.3384159100119,-1.27031886580078,-0.693322026641985,-0.158489674074131,-0.735486513232926,-2.77841180322503,-1.61699617015838,-0.410223043894089,-1.49010928917157,0.0176876812889377,0.133682097649655,0.689382619696083,0.163817630317353,4.03112212600741,0.0362125683308975,0,0,0,0
Ribo phaspho protein P1,10.4992509876333,0.824004124257865,0.743524913693689,0.150272877015068,0.230752087579244,1.4898584567805,1.48430893563952,0.320164719770801,0.397779431358124,0.163882578828248,0.165325181326184,0.75473896248992,0.698271989336252,1.56047409244601,0.253515404749963,0,0,0,0
Ribo phaspho protein P2,7.1778017278536,0.506694683789722,0.344307504348758,-0.162655865340336,-0.000268685899372123,1.01822744386921,0.721327706804452,-0.367895686561843,-0.000507773823082001,0.330067798402115,0.485498115152142,0.719811356863224,0.999603789437837,0.54534879204654,0.661203012322464,0,0,0,0
Ribo phasphoprotein P0,12.1006967446443,-0.73072509949731,-0.0668083491973981,0.42506416446734,-0.238852585832571,-1.99529038433258,-0.181985041179853,1.30874570346395,-0.590881139060175,0.0709235804673164,0.858847452539972,0.216846162858576,0.566336777482239,1.45038736087096,0.280443569700778,0,0,0,0
Ro/SSA_52KDa,12.2782082673659,0.454788968833682,-0.276114681340511,0.735825387048269,1.46672903722246,0.694413725036618,-0.450168138109794,1.2172192450648,2.21193231033169,0.501577803570076,0.66118081076063,0.248554248118779,0.048643724540841,2.16048033238252,0.149473703345457,0,0,0,0
Ro/SSA_60KDa,8.19066305671262,0.357150663888907,-1.50379169224072,-1.63815032613853,0.222792029991098,0.355384752383784,-1.54059567570937,-1.73107356998962,0.215660300718974,0.728906017246629,0.151187395468291,0.110866431996886,0.83313097807006,1.23213593416761,0.343713146803152,0,0,0,0
Scl-70,10.5799587752904,0.0649821045893866,0.684656690882806,0.182722018798229,-0.43695256749519,0.158561455196239,1.8072717030629,0.511703632591039,-1.01876138357812,0.876838215318227,0.0976374083046225,0.618799446254295,0.329825089219929,1.10806606813525,0.38651089282845,0,0,0,0
Sm,9.74248639976182,0.253910915648008,1.54626442303647,0.895988665312133,-0.396364842076323,0.476946621742266,3.22498433006527,1.95452951311123,-0.719883926571275,0.642573488086484,0.00791525356468837,0.0760640222537751,0.486352572766583,3.76323110157329,0.0435265199955489,0,1,0,0
Sm/RNP,10.0811795274803,0.524614130468137,0.999293882209122,0.84776075938284,0.373081007641856,0.769457295305732,1.62887641135409,1.44966045553214,0.528026502920445,0.45754786470767,0.131126154697073,0.174579709533057,0.607787080715439,1.74271463041333,0.215073331747356,0,0,0,0
SmD,8.24481259134181,0.0189562256710225,1.36493071338264,1.96835781661308,0.622383328901461,0.0174183172016956,1.37603130025151,2.05337298637884,0.55680958791874,0.98640941864391,0.195710422409899,0.0641561165957937,0.58861421307762,1.79879382498837,0.20460181073744,0,0,0,0
SRP54,9.244385887322,-0.139393276525768,-0.625299713847671,0.82448934525066,1.31039578257256,-0.345763029262178,-1.692810383626,2.2423563857352,3.23798387568069,0.735930171898353,0.118099279323648,0.0461071397654277,0.00773280093947684,5.92699038286174,0.0113616418521908,0,0,0,1
ssDNA,17.0294855690412,-7.105427357601e-15,1.47932861101342,0.886366630077518,-0.592961980935911,-6.48305344379777e-15,1.33012375180136,0.756164688136718,-0.574818622613716,0.999999999999995,0.209936222031567,0.465163100326523,0.576781694496515,0.595414715029592,0.630777429854909,0,0,0,0
Thyroglobulin,12.9371670229408,-0.374181723368148,0.206215544094272,-0.766213024308732,-1.34661029177115,-0.630519126872029,0.296463175817102,-1.20840701565712,-2.0441242428463,0.541010617606573,0.772303333868725,0.251793474234389,0.0651916495584499,1.91122172902255,0.185303442059547,0,0,0,0
Topoisomerase I,9.29048668241409,-0.26119838944129,0.00279008903051015,0.0604929837539618,-0.203495494717838,-0.581168356953477,0.00637529377904755,0.140846615940538,-0.445064498034532,0.572640325437204,0.99502546193507,0.890493195598357,0.66475486352984,0.127864101077156,0.941609866128478,0,0,0,0
TPO,12.1817338923766,-0.198581037289868,-0.237121672112494,-0.18766534539326,-0.149124710570634,-0.651391175995834,-0.781654174247589,-0.707598615982705,-0.440462444040615,0.527937465074499,0.450630873359974,0.493660618021691,0.667985119873362,0.568524116418975,0.64697284777957,0,0,0,0
TTG,12.3464768076796,0.536252731611745,-0.294956459879504,-0.101007318675782,0.730201872815467,1.17166546765445,-0.68612188546606,-0.251733083454842,1.51183461011226,0.265660821940794,0.5065958359958,0.805808219749154,0.158275422072201,0.850360253538529,0.49448361911513,0,0,0,0
U1-snRNP-68,9.77105025330996,-0.388256756191154,2.04768377195422,1.57048860816057,-0.865451919984805,-0.272431568494809,1.58701407945914,1.27507044032216,-0.58631729859139,0.790248959879827,0.140328177053608,0.228107308042964,0.56929396423727,0.943943056930708,0.452049955799967,0,0,0,0
U1-snRNP-A,12.2814776578065,3.50443919817885,3.61113779326451,1.00330935604212,0.896610760956465,2.42895471457482,2.41612107187615,0.715811620984456,0.584779080839962,0.0331162849733862,0.033882689363162,0.488767625860142,0.570292556942355,4.19496471582749,0.0324481023209778,0,0,0,0
U1-snRNP-BB',13.689031693331,-0.987634719675345,0.474723142513195,1.30304579478192,-0.159312067406622,-1.52275892529818,0.644115213062783,1.72625557715275,-0.253782996907587,0.155550098992172,0.53247386339368,0.111754786262064,0.804263241642139,1.20656858895583,0.3520945742439,0,0,0,0
U1-snRNP-C,10.6094041686148,-0.698072794781739,-0.285849536607319,-0.822808240460624,-1.23503149863504,-1.02889550589561,-0.42979939487917,-1.3343027419504,-1.70877611879784,0.325243425268507,0.675496564396341,0.208606859609458,0.115031510225112,1.93751319220067,0.181094584395289,0,0,0,0
Vimentin,4.96283536131565,-0.159267669438361,-1.38011377514784,-0.314597244986287,0.906248860723193,-0.201267448932259,-1.79574683664747,-0.415105197775743,1.13061965667048,0.84409927613177,0.099541888416653,0.685908145554492,0.281852631001825,1.16087461138652,0.367630600701169,0,0,0,0
Vitronectin,11.0382708816917,-0.147717520882912,-1.08227255862268,0.185501798115183,1.12005683585495,-0.207706896069974,-1.62116476002882,0.294914362919516,1.50236652015712,0.839187585361111,0.132780305236205,0.773455867893528,0.160670626702996,1.38204707365939,0.298753940281796,0,0,0,0
Anti-Ig,18.0095045320616,-1.06581410364015e-14,-1.31707764454016,-1.88066582571295,-0.563588181172797,-2.21738939665948e-14,-2.75706902381808,-3.82409462439242,-1.20879125156993,0.999999999999983,0.0183810474666039,0.0027355772921798,0.251651540127192,6.69116102243415,0.00755107048715735,0,0,-1,0
Ig control,15.0700760847633,-0.998091386677938,-0.975221617468213,-0.6073632276228,-0.630232996832525,-2.24394979703577,-2.17871503755225,-1.29075607895482,-1.498933156504,0.0459778355935804,0.0515649993273625,0.222804171985638,0.161546853309655,4.56016979628229,0.0255873068324112,0,0,0,0
